incident_id,model,condition,latency_sec,rca_accuracy,log_faithfulness,confidence_score,regime,category_label,root_cause_description
INC-008,nvidia-llama,C,1.94,1,0.0,0.5,CONFIDENT_LIAR,PodCrashLooping,"The pod is experiencing a crash looping issue, which means it is continuously crashing and restarting. However, the exac"
INC-008,nvidia-llama,D,1.98,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,The pod is intentionally crashing and looping due to the injected chaos.
INC-008,nvidia-mistral,A,5.26,1,0.5,0.9,PARTIAL_GROUNDING,PodCrashLooping,"The pod is not ready due to an ImagePullBackOff error, which means the container image could not be pulled. The specific"
INC-008,nvidia-mistral,B,6.12,1,0.5,1.0,PARTIAL_GROUNDING,PodCrashLooping,"The pod 'target-app-f6db4c6b6-z7pbl' is in a Pending state due to an ImagePullBackOff error, indicating that the specifi"
INC-008,nvidia-mistral,C,4.8,1,0.0,0.8,CONFIDENT_LIAR,PodCrashLooping,"The provided logs indicate that the pod is unable to fetch logs, which may suggest a loop in the container's execution c"
INC-008,nvidia-mistral,D,2.99,1,0.0,0.9,CONFIDENT_LIAR,PodCrashLooping,The pod is crashing due to an infinite loop in the application code.
INC-008,nvidia-glm47,A,51.6,1,0.5,1.0,PARTIAL_GROUNDING,PodCrashLooping,The pod is stuck in a Pending state with a status of ImagePullBackOff because the specified container image tag does not
INC-008,nvidia-glm47,B,425.48,1,0.5,1.0,PARTIAL_GROUNDING,PodCrashLooping,The pod is in an ImagePullBackOff state because the specified container image tag 'nginx:this-tag-is-fake-123' does not 
INC-008,nvidia-glm47,C,85.09,1,0.5,0.95,PARTIAL_GROUNDING,PodCrashLooping,The pod is in a CrashLoopBackOff state. The specific application error cannot be determined from the current logs becaus
INC-008,nvidia-glm47,D,46.4,1,0.0,1.0,CONFIDENT_LIAR,PodCrashLooping,"The provided evidence indicates a PodCrashLooping incident based on the alert name and metadata. However, the pod_logs, "
INC-013,nvidia-llama,A,2.72,1,0.0,0.8,CONFIDENT_LIAR,NetworkFailure,The pod is experiencing network issues due to a network partition caused by a chaos experiment.
INC-013,nvidia-llama,B,2.5,1,0.0,0.0,CONFIDENT_LIAR,NetworkFailure,No clear indication of network failure in the provided evidence. The pod is running and there are no error messages indi
INC-013,nvidia-llama,C,2.59,1,0.0,0.9,CONFIDENT_LIAR,NetworkFailure,"The root cause of this incident is a network partition that led to a worker process exiting with a signal 13, which is a"
INC-013,nvidia-llama,D,1.78,1,0.0,1.0,CONFIDENT_LIAR,NetworkFailure,"A network partition occurred, causing a disruption in the network connectivity between pods or nodes."
INC-013,nvidia-mistral,A,5.33,1,0.0,0.95,CONFIDENT_LIAR,NetworkFailure,The root cause of the incident is a network partition event causing one of the worker processes in the nginx container t
INC-013,nvidia-mistral,B,4.2,1,0.0,1.0,CONFIDENT_LIAR,NetworkFailure,The root cause of the incident is a network partition caused by a Chaos Engineering test (network_partition). This has r
INC-013,nvidia-mistral,C,5.56,1,0.0,0.8,CONFIDENT_LIAR,NetworkFailure,"The root cause appears to be a process (with PID 50) exiting unexpectedly on signal 13 (SIGPIPE), which typically indica"
INC-013,nvidia-mistral,D,3.49,1,0.0,1.0,CONFIDENT_LIAR,NetworkFailure,The incident is caused by a network partition due to chaos engineering testing.
